2026-01-22 21:48:13.458981 | UUID:ed3eef87-8177-4f18-a12c-e55811ad89aa | KEY:HTTPAccess | PATH:/ | SESSION:user
2026-01-22 21:48:13.743730 | UUID:911b9a21-82ab-4f6e-b6b9-6a4db55f81fa | KEY:HTTPAccess | PATH:/favicon.ico | SESSION:user
2026-01-22 21:48:15.465648 | UUID:9ecc4617-2bb9-4274-9cb5-54fbfd97eb06 | KEY:HTTPAccess | PATH:/createcar | SESSION:user
2026-01-22 21:48:17.928266 | UUID:1a970a4d-62a4-4575-a125-16da05aa2d0c | KEY:HTTPAccess | PATH:/readcar | SESSION:user
2026-01-22 21:48:18.012645 | UUID:12b88d53-aded-4661-8074-5db785565da7 | KEY:Intruder | PATH:/api/cars/ | SESSION:guest
2026-01-22 21:48:18.015015 | UUID:e1d44ce8-e462-4a95-bbb8-9f01b14a1018 | KEY:HTTPAccess | PATH:/signin/ | SESSION:guest
2026-01-22 21:52:22.590129 | UUID:dac5c1ae-607e-4c4d-bce4-e842a564d799 | KEY:HTTPAccess | PATH:/ | SESSION:user
2026-01-22 21:52:23.793464 | UUID:5db4edc8-d0c0-4b74-9da5-f538a8f3b22c | KEY:HTTPAccess | PATH:/createcar | SESSION:user
2026-01-22 21:52:27.046531 | UUID:659a0869-ef2b-4ec6-887d-22a4babc2fd6 | KEY:HTTPAccess | PATH:/createcar | SESSION:user
2026-01-22 21:52:46.954802 | UUID:9b3f7b6b-8751-416c-a096-b7b046b2b9ac | KEY:HTTPAccess | PATH:/ | SESSION:user
2026-01-22 21:52:50.081680 | UUID:a3502205-67d5-44f6-ae82-6d394808e0e7 | KEY:HTTPAccess | PATH:/createcar | SESSION:user
2026-01-22 22:01:18.935096 | UUID:29bd6985-79d6-4204-bc0a-b6d5fe7b699e | KEY:HTTPAccess | PATH:/ | SESSION:user
2026-01-22 22:01:21.541098 | UUID:69eb22a1-1480-4ef8-832c-54755e411151 | KEY:HTTPAccess | PATH:/createcar | SESSION:user
2026-01-22 22:01:33.311950 | UUID:938341a3-b7ee-48cd-9608-998229a1c3ed | KEY:HTTPAccess | PATH:/createcar | SESSION:user
2026-01-22 22:01:33.914440 | UUID:c08ffd2d-cf62-4835-b6bd-a45cc7211765 | KEY:HTTPAccess | PATH:/readcar | SESSION:user
2026-01-22 22:01:34.029134 | UUID:90bc3e1f-ce32-4b2d-811d-53f1be763181 | KEY:Intruder | PATH:/api/cars/ | SESSION:guest
2026-01-22 22:01:34.031593 | UUID:dbe21aed-74f0-4363-87df-1c47e10226d0 | KEY:HTTPAccess | PATH:/signin/ | SESSION:guest
2026-01-22 22:02:06.526639 | UUID:951ba401-07e5-4863-9736-5feff877a254 | KEY:HTTPAccess | PATH:/createcar | SESSION:user
