2026-01-22 22:37:30.584048 | 122d87e6-c093-44c4-9a62-6aa186c1d5d6 | GUEST | / | guest
2026-01-22 22:37:30.595041 | 77108cee-1857-46a5-9662-229913fdff69 | GUEST | /signin/ | guest
2026-01-22 22:37:34.766194 | 91733251-e80f-4137-b587-c56bb4e667dd | GUEST | /signin/ | guest
2026-01-22 22:37:34.779643 | 0be7f294-ad20-48a3-9ec2-16dbac780b80 | HTTPAccess | /profilesecure/ | dimas
2026-01-22 22:37:36.463175 | 15c7cf0e-4cf1-4e81-b59e-bda3abb6bd84 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:37:38.900245 | 1936431d-e4a7-452f-a0d0-3099e43327e6 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:37:48.047130 | 75a73f12-753a-4cb6-ae9d-23da256cb586 | HTTPAccess | / | dimas
2026-01-22 22:37:49.365517 | 8d7a3d60-bdda-46cd-8213-389f97f33ea3 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:37:59.076924 | 5ed910d9-d456-4c7c-abe4-5bf1cd1a5aaa | HTTPAccess | / | dimas
2026-01-22 22:37:59.367863 | 56685cba-73c4-4777-93c6-bb42bef65a59 | HTTPAccess | /favicon.ico | dimas
2026-01-22 22:38:00.500535 | 1987fc8e-89df-4d4e-b8cc-ca7971f5a522 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:38:13.957813 | 4b59a9ab-6abe-4289-b5e0-500730e24101 | HTTPAccess | /searchcar/ | dimas
2026-01-22 22:38:14.901429 | 1c786707-e37b-4d5b-b081-e695b238dc6d | HTTPAccess | /deletecar/ | dimas
2026-01-22 22:38:15.781935 | 15605a3c-0752-4a97-b5e4-37608cc061ff | HTTPAccess | /createcar/ | dimas
2026-01-22 22:38:16.802909 | 96b6e3aa-c5f7-441e-9d04-0fcaf121114d | HTTPAccess | /deletecar/ | dimas
2026-01-22 22:38:17.252587 | 074fa2fd-451e-4214-a063-103a28c45cf2 | HTTPAccess | /updatecar/ | dimas
2026-01-22 22:38:18.223162 | 427bffd1-a0bb-4cac-b2da-94e32a14f838 | HTTPAccess | /readcar/ | dimas
2026-01-22 22:38:18.433120 | a632ef2f-6343-4f24-ae7b-23820c1026de | INTRUDER | /api/cars/ | guest
2026-01-22 22:38:18.435841 | ed10735b-f0ed-4547-894f-7ef90f058bb5 | GUEST | /signin/ | guest
2026-01-22 22:38:28.965494 | 2cc65257-f0ff-4913-ada2-58b3d4517147 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:38:29.710503 | 2c1c5f98-b4e4-480e-a088-f2330e248d03 | HTTPAccess | /updatecar/ | dimas
2026-01-22 22:38:30.371054 | c9195ec1-2182-4188-9008-6d0cb0310683 | HTTPAccess | /readcar/ | dimas
2026-01-22 22:38:30.375019 | e1e2abee-9742-474b-a5bf-34bd9c3441a7 | INTRUDER | /api/cars/ | guest
2026-01-22 22:38:30.377358 | 86458966-94c6-47b1-a416-8c83e9344223 | GUEST | /signin/ | guest
2026-01-22 22:38:40.768732 | e2d36e47-0ccc-4949-bdff-72ed9795c441 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:39:13.362699 | bf3bd046-71b8-4df8-9b1f-f162bc4d2823 | HTTPAccess | /createcar/ | dimas
2026-01-22 22:39:21.585684 | 41091254-5358-4bd2-9920-ffea9538000b | HTTPAccess | /createcarsave/ | dimas
2026-01-22 22:39:21.590443 | 3a548dea-f47b-4611-877c-a309ddb06e3e | INTRUDER | /api/cars/ | guest
2026-01-22 22:39:21.594210 | a64d9f4a-e87f-460a-9031-468e74a18b0d | GUEST | /signin/ | guest
2026-01-22 22:39:21.602088 | 3447ca22-506d-4140-8226-a0a8486cf740 | HTTPAccess | /readcar/ | dimas
2026-01-22 22:39:21.606867 | 6366a071-bb37-43f3-91ce-8f9f07df54f2 | INTRUDER | /api/cars/ | guest
2026-01-22 22:39:21.612509 | ad32b9a2-bd8a-40a6-b7ed-505e8ea2297b | GUEST | /signin/ | guest
2026-01-22 22:43:25.650311 | 610ed1ba-f38d-4f80-865d-99c99eb0f7e9 | GUEST | / | guest
